"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","1","0","39","0","0"
"","Admin Panel","Login","0","0","8","0","0"
"","Home Page","Page Load & Layout","0","0","8","0","0"
"","Database Validation","Shadow DB Integrity","0","0","5","0","0"
"","Bookings","GET /booking","0","0","5","0","0"
"","Bookings","DELETE /booking","0","0","2","0","0"
"","Bookings","PUT /booking — full update","0","0","2","0","0"
"","Authentication","POST /auth","0","0","4","0","0"
"","Bookings","POST /booking","0","0","3","0","0"
"","Home Page","Contact Form","1","0","1","0","0"
"","Bookings","PATCH /booking — partial update","0","0","1","0","0"
